LPA Number,Borough,Valid date,Status,Application type,Description,Site name,Site number,Street name,Locality,Postcode,Actual commencement date,Actual completion date,Total number of proposed residential units,Total number of existing residential units,Units Proposed,Units Lost,Net Units,Total units with commencement date,Toal units with completion date,Decision,Decision date,Appeal decision,Appeal decision date,URL planning application
202317,Waltham Forest,10/08/2020,Approved,All Other,"Change of use from a ground floor retail unit (Class A1) to 1 x 1- bedroom flat (Class C3), with alteration to front and rear ground floor fenestration including construction of bay window at front elevation.",,394,FOREST ROAD,,E17 5JF,,,,,1,0,1,,,Approved,29/09/2020,,,https://builtenvironment.walthamforest.gov.uk/planning/index.html?fa=getApplication&id=46040
20/03097/FULL,Westminster,18/05/2020,Approved,All Other,Demolition of the existing mansard roof and construction of two floors to create a duplex residential flat with roof terrace and associated works including installation of plant and landscaping works.,,24,Carlton House Terrace,,SW1Y 5AP,,,,,1,0,1,,,Approved,10/11/2020,,,
20/04017/FULL,Westminster,15/07/2020,Approved,All Other,"Amalgamation of Flat 5, 29 Ennismore Gardens and Flat 12, 28 Ennismore Gardens at third foor level to create one family sized dwelling.",28-29 Ennismore GardensLondonSW7 1AD,,,,,,,,,1,2,-1,,,Approved,23/09/2020,,,
19/00929/CLEUD,Westminster,20/02/2019,Approved,All Other,Use of a building as 13 serviced apartments (sui generis use).,14-15 Hertford Court Hertford StreetLondonW1J 7RP,,,,,,,,,0,13,-13,,,Approved,02/12/2020,,,
20/08067/FULL,Westminster,22/12/2020,Approved,All Other,Amalgamation of two flats at ground and lower ground level to create a single family dwellinghouse (Use Class C3).,Flat 1 Basement,35,Aylesford Street,,SW1V 3RY,,,,,1,2,-1,,,Approved,05/02/2021,,,
20/AP/2214,London Borough of Southwark,07/08/2020,Approved,All Other,"Certificate of lawfulness (proposed) Part of first floor area to be converted into a two bedroom flat, no machinery will be installed. Conversion of part of first floor ancillary space to bakery to two bedroom flat.",131-133 Evelina RoadLondonSouthwarkSE15 3HB,,,,,,,,,1,0,1,,,Approved,12/10/2020,,,
21/00158/CLE,London Borough of Newham,26/01/2021,Approved,All Other,Application for a lawful development certificate for the existing use as two flats.,,64,Perth Road,Plaistow,E13 9DS,,,,,2,1,1,,,Approved,23/03/2021,,,
20/03650/FULL,Westminster,12/06/2020,Approved,All Other,"Internal and external alterations including replacement of non-original fenestration to the front and rear elevations; replacement of the front elevation door at lower ground level and replacement of modern fenestration to the rear extension. Restoration and reconfiguration to provide five residential units, provision of amenity spaces in the rear courtyard and rear lightwell, creation of a terrace at ground floor level and at rear fourth floor level, and provision of waste storage and plant in basement vaults.",,37,Great Cumberland Place,,W1H 7TD,,,,,1,3,-2,,,Approved,15/10/2020,,,
20/AP/2841,London Borough of Southwark,19/10/2020,Approved,All Other,"Variation of Condition 1 (Approved Plans) pursuant to 18/AP/3613 [Change of use of part of the existing ground floor from retail shop (Use Class A1) to provide 1x self-contained flat (Use Class C3), change of use of first floor from storage (Use Class B8) to provide 3x self-contained flats and an upward extension to provide 2x self-contained flats at second floor level with associated refuse and cycle storage] for the reconfiguration of Unit 3, enlargement of Unit 4, creation of terrace for Unit 6 facing inner courtyard and reconfiguration of internal floor layout to provide study room, repositioning of second floor front elevation windows, changes to Zinc seam cladding width at second floor level and associated ground floor works to cycle storage and refuse area.",61-63 Rye LaneLondonSouthwarkSE15 5EX,,,,,,,,,4,0,4,,,Approved,17/12/2020,,,
20/02340/CLE,London Borough of Newham,24/10/2020,Approved,All Other,Application for a lawful development certificate for the existing use as 2 flats.,,11,Herbert Road,Manor Park,E12 6AY,,,,,2,0,2,,,Approved,17/12/2020,,,
20/03010/FULL,Westminster,16/06/2020,Approved,All Other,"Dual/alternative use of part ground floor and first-third floors of No. 31 for either office use (Class B1) or 3 residential units (Class C3). Use of part ground floor of No. 31 and first-fourth floors of Nos. 28-31 as office floorspace (Class B1); and use of the first-third floors of No. 27 as residential units (Class C3). Minor reconfiguration of existing residential units within No. 26 James Street. Installation of an additional door to the shopfront of 31 James Street, installation of external plant within parapet screened area at second floor roof level to the rear of No. 30 and minor external alterations to the rear of the terrace. (Site includes 26, 27, 28, 29, 30 and 31 James Street).",,26,James Street,Covent Garden,WC2E 8PA,,,,,3,1,2,,,Approved,22/10/2020,,,
20/03043/FULL,Westminster,13/05/2020,Approved,All Other,Erection of a single storey rear extension at lower ground floor level to create a self contained residential unit (Class C3) and associated works. (Linked to 20/03044/LBC) (Amended description),,"35, 36",Dorset Square,,NW1 6QN,,,,,1,0,1,,,Approved,18/09/2020,,,
20/0583/PNJ,London Borough of Barnet,05/02/2020,Approved,Prior Approval,Conversion of rear storage area of ground floor shop to 2 no.self-contained 1 bedroom apartments,,"638, 640",High Road,North Finchley,N12 0NL,,,,,2,0,2,,,Approved,24/11/2020,,,
20/04448/FULL,Westminster,20/07/2020,Approved,All Other,Demolition of 2-storey rear wing and external alterations in connection with conversion of part of betting office on ground and basement floor levels to create 3 self-contained flats (Use Class C3) and retention of part of betting office (Use Class Sui Generis).,,43,Chippenham Road,,W9 2AH,,,,,3,0,3,,,Approved,07/10/2020,,,
20/AP/2977,London Borough of Southwark,13/10/2020,Approved,All Other,Certificate of lawful development (proposed) for the amalgamation of units 204 and 205.,Suites 204 & 205Butlers Wharf Building36 Shad ThamesLondonSouthwarkSE1 2YE,,,,,,,,,1,2,-1,,,Approved,25/11/2020,,,
20/03380/FULL,Westminster,05/06/2020,Approved,All Other,Conversion of upper floors into one 1 bedroom flat and one 2 bedroom maisonette.,,14B,Blenheim Terrace,,NW8 0EB,,,,,2,1,1,,,Approved,30/07/2020,,,
20/07221/FULL,Westminster,11/11/2020,Approved,All Other,"Alterations to 12 Chester Street including extension at rear lower ground and ground floor level with terrace above at first floor level; demolition of existing structure within rear lower ground floor garden and replacement with glazed link structure, with new plant room below. Demolition behind retained front facade of 14 Groom Place construction of replacement building including additional mansard storey and rear extension. Amalgamation of 12 Chester Street and 14 Groom Place.",,12,Chester Street,,SW1X 7BB,,,,,1,2,-1,,,Approved,06/01/2021,,,
19/10120/FULL,Westminster,30/12/2019,Approved,All Other,Infill of existing ground floor undercroft area and extensions to rear in association with the change of use of the ground and first to residential flats (Class C3). Replacement windows to front and rear elevation.,The Old Dairy Flats Chapel SideLondonW2 4LG,,,,,,,,,4,0,4,,,Approved,20/04/2020,,,
21/00026/CLE,London Borough of Newham,06/01/2021,Approved,All Other,Application for a Lawful Development Certificate for the existing use of the property as two self-contained residential units 2 x 1 bedroom.,,185,Leytonstone Road,Stratford,E15 1LH,,,,,2,1,1,,,Approved,02/03/2021,,,
20/02654/AXRPA,Bromley,31/07/2020,Approved,Prior Approval,"Change of use of the rear ground floor area from A1 (Retail) to C3 (Dwellinghouse) comprising 1 x studio flat and associated building works (56 day application for prior approval in respect of transport and highways, contamination, flooding risks, service provision within key shopping areas, and external appearance of the building under Class M Part 3 of the GPDO).",,133,High Street,Penge,SE20 7DS,,,,,1,0,1,,,Approved,25/09/2020,,,
20/00815/PRIOR,Bexley,20/04/2020,Approved,Prior Approval,Notification for Prior Approval for a proposed change of use of building from Office Use (Class B1(a)) to provide 18 x 1 bed flats.,,7,Powerscroft Road,,DA14 5DT,,,,,18,0,18,,,Approved,09/06/2020,,,
20/02790/CLE,London Borough of Newham,15/12/2020,Approved,All Other,"Application for a lawful development certificate for the existing use of a self-contained unit on the first floor "Flat 4" at Norwich RoadForest Gate, London, E7 9JH.",,4,Norwich Road,Forest Gate,E7 9JH,,,,,1,0,1,,,Approved,09/02/2021,,,
20/01887/FULL,Westminster,13/03/2020,Approved,All Other,"Amalgamation and reconfiguration of existing flats (Apartments 16, 17, 18, 22 and 23) at third and fourth floor levels to create two flats at third floor and three flats at fourth floor.",,60,Park Lane,,W1K 1QD,,,,,3,3,0,,,Approved,06/05/2020,,,
20/02008/CLE,London Borough of Newham,30/09/2020,Approved,All Other,Application for a Lawful Development Certificate for the existing use of two self-contained flats,,186,Church Road,Manor Park,E12 6HL,,,,,2,0,2,,,Approved,25/11/2020,,,
20/05189/FULL,Westminster,16/09/2020,Approved,All Other,Amalgamation of the ground floor flat at no.15 and first floor flat at no.16; erection of first floor extension above rear outbuilding; opening of small window on landing; reinstatement of internal stair and ground floor hallway door replicating originals. (Linked to 20/05190/LBC),,15,Queen's Gardens,Bayswater,W2 3BA,,,,,1,1,0,,,Approved,14/01/2021,,,
19/03673/CEA,Enfield,24/10/2019,Approved,All Other,Conversion of garage at rear into granny annexe ancillary to the existing use of the property as a single family dwellinghouse.,,42,Elvendon Road,,N13 4SJ,,,,,1,0,1,,,Approved,19/06/2020,,,
20/06099/GPDO,London Borough of Croydon,24/11/2020,Approved,Prior Approval,Notification for prior approval under the GPDO 2015 from change of use under Class M from retail (Class A1) to residential for part conversion to form a studio flat (Class C3) with associated works.,,912,London Road,,CR7 7PE,,,,,1,0,1,,,Approved,19/01/2021,,,
20/02071/FULL,Westminster,28/07/2020,Approved,All Other,Replacement of existing mansard roof with a sheer third floor storey and erection of a mansard roof at fourth floor level to create an additional studio flat (Class C3).,,16,Broadway,,SW1H 0BH,,,,,1,0,1,,,Approved,15/10/2020,,,
20/03780/FULL,Westminster,02/10/2020,Approved,All Other,Amalgamation of six self contained flats plus common parts to form a single family dwelling and associated alterations including extension and conversion of garage to habitable accommodation. (Renewal of 17/05046/FULL).,,1,Eaton Place,,SW1X 8BN,,,,,1,6,-5,,,Approved,26/11/2020,,,
20/02092/CLE,London Borough of Newham,24/09/2020,Approved,All Other,Application for a Lawful Development Certificate for the existing use of 4 x residential self-contained flats.,,42,Browning Road,Manor Park,E12 6ES,,,,,4,0,4,,,Approved,18/11/2020,,,
20/02190/CLE,London Borough of Newham,07/10/2020,Approved,All Other,Application for a lawful development certificate for the existing use of two separate self contained flats.,,103,Western Road,Plaistow,E13 9JE,,,,,2,0,2,,,Approved,30/11/2020,,,
20/00967/FULL,Westminster,11/02/2020,Approved,All Other,"Demolition of the existing building and replacement with a new mews house, comprising basement, ground and first floors.",,43,William Mews,,SW1X 9HQ,,,,,1,1,0,,,Approved,03/06/2020,,,
20/06022/FULL,Westminster,25/09/2020,Approved,All Other,"External repairs and alterations, including infill of rear lightwell at lower ground floor level, installation of plant equipment to main roof level, alterations to treatment of boundary with no.189, and replacement of double glazed windows with single glazed windows, all in connection with use of the building as a single family dwelling. (Linked to 20/06023/LBC)",,187,Gloucester Place,,NW1 6BU,,,,,1,1,0,,,Approved,11/02/2021,,,
21/00033/P3JPA,Westminster,05/01/2021,Approved,Prior Approval,"Notification for prior approval for a change of use from offices (Class B1(a)) to fourteen residential units (Class C3) under The Town and Country Planning (General Permitted Development) (England) Order 2015 (as amended) - Schedule 2, Part 3, Class O.",Grove House,"88, 94",Westbourne Grove,,W2 5RT,,,,,14,0,14,,,Approved,26/02/2021,,,
20/00868/AXRPA,Bromley,05/03/2020,Approved,Prior Approval,"Change of use of part of first floor from Class A1 (Furniture shop) to Class C3 (residential) to form one two-bedroom flat (56 day application for prior approval in respect of transport and highways, contamination, flooding risks, adequate provision of services, and external appearance of the building under Class M Part 3 of the GPDO)",,53,Station Approach,Hayes,BR2 7EB,,,,,1,0,1,,,Approved,24/04/2020,,,
20/06150/FULL,Westminster,06/10/2020,Approved,All Other,"Subdivision of existing single family dwelling (Class C3) to create seven flats (4x 1-bedroom, 2x 2-bedroom and 1x 3-bedroom).",2-4 Old Pye Street London SW1P 2LE,,,,,,,,,7,1,6,,,Approved,12/03/2021,,,
20/AP/1295,London Borough of Southwark,07/05/2020,Approved,All Other,Certificate of lawfulness (existing) for the continued use of this former live work unit as a two bedroom residential flat.,Elm Court,2,Royal Oak Yard,,SE1 3TP,,,,,1,1,0,,,Approved,13/05/2020,,,
20/01640/P3O,Lambeth,18/05/2020,Approved,Prior Approval,"Prior Approval for change of use from offices (Use Class B1(a)) to 26 residential units (Use Class C3) on part of the first floor, with provision of cycle storages at basement.",,139,Clapham Road,,SW9 0HP,,,,,26,0,26,,,Approved,14/09/2020,,,
20/05507/FULL,Westminster,11/09/2020,Approved,All Other,"Amalgamation of flats D and E to create a single family unit, and creation of a small external roof terrace at third floor to the rear.",,41D,Hertford Street,,W1J 7SJ,,,,,1,2,-1,,,Approved,23/11/2020,,,
21/00001/CLE,London Borough of Newham,19/01/2021,Approved,All Other,Application for a lawful development certificate for the existing use of the property as 2 flats.,,39,Corporation Street,Stratford,E15 3HB,,,,,2,1,1,,,Approved,12/03/2021,,,
20/07077/FULL,Westminster,16/11/2020,Approved,All Other,Amalgamation of two flats to create a single dwelling and associated works.,Flat 86,3,Whitehall Court,,SW1A 2EL,,,,,1,2,-1,,,Approved,20/01/2021,,,
19/03841/PIP,Enfield Council,05/11/2019,Approved,All Other,Residential development of land (Permission in Principle) for the erection of a dwellinghouse.,Vacant Land Rear Of 4 To 10 Totteridge Road EN3,,,,,,,,,1,0,1,,,Approved,16/09/2020,,,
21/00047/CLE,London Borough of Newham,08/01/2021,Approved,All Other,"Application for a Lawful Development Certificate for the existing use of two self-contained flats (36A & 36B Berkeley Road, E12).",,36A,Berkeley Road,Manor Park,E12 6RW,,,,,2,1,1,,,Approved,04/03/2021,,,
20/02210/CLE,London Borough of Newham,13/10/2020,Approved,All Other,Application for a lawful development certificate for the existing use of two separate self contained flats.,,69,Elizabeth Road,East Ham,E6 1BW,,,,,2,0,2,,,Approved,02/12/2020,,,
20/06467/FULL,Westminster,23/11/2020,Approved,All Other,Amalgamation of flats C and D into one flat (Class C3).,,11C,Sunderland Terrace,,W2 5PA,,,,,1,2,-1,,,Approved,21/01/2021,,,
20/02355/FULL,Westminster,06/04/2020,Approved,All Other,Use of building as five residential flats (Class C3). External alteration including the installation of a replacement roof light and installation of a lift overrun,,101,Seymour Place,,W1H 5TG,,,,,5,0,5,,,Approved,18/06/2020,,,
20/02679/FULL,Westminster,23/04/2020,Approved,All Other,"Dual/alternative use of the first, second and third floors for either continued residential (3 x studio flats, Class C3) or as office space (Class B1), and associated internal alterations",,4A,Ganton Street,,W1F 7QN,,,,,0,3,-3,,,Approved,05/08/2020,,,
19/00514/FULL,Westminster,14/02/2019,Approved,All Other,"Part demolition of Nos 29, 31, 33, 37, 39 Oxford Street behind retained facades and demolition 41 and 43 Oxford street and 17-19 Soho Square and redevelopment of the site, including retention of 35 Oxford Street with alterations and alterations to the ground floor level and basement level of No. 16 Soho Square to provide a new building with two basement levels and rooftop pavilion comprising Class E(a) retail; Class E(b) food and drink; Class E(g)(i) office; and flexible Class E(a) retail and Class E(g)(i) office uses and associated works including cycle storage and associated facilities and the provision of a publicly accessible roof garden and all other works associated with the development.",Development Site At 29-43 Oxford Street And 16 And 17-19 Soho SquareLondon,,,,,,,,,0,2,-2,,,Approved,01/07/2020,,,
19/07458/FULL,Westminster,15/01/2020,Approved,All Other,Erection of a roof extension at fifth floor level to create a self contained residential unit (Class C3).,,4,Warwick Square,,SW1V 2AA,,,,,1,0,1,,,Approved,10/06/2020,,,
20/02786/CLE,London Borough of Newham,15/12/2020,Approved,All Other,"Application for a lawful development certificate for the existing use of C3 residential use as a self-contained unit at basement level at 4 Norwich Road, Forest Gate, London, E7 9JH.",,4,Norwich Road,Forest Gate,E7 9JH,,,,,1,0,1,,,Approved,09/02/2021,,,
20/02413/FULL,Westminster,08/04/2020,Approved,All Other,Use of part of the lower ground floor (Unit 7B) as a flat (Class C3).,Hyde Park Mansions,,Cabbell Street,,NW1 5BB,,,,,1,0,1,,,Approved,29/07/2020,,,
20/AP/0750,London Borough of Southwark,16/03/2020,Approved,All Other,Certificate of lawful development (existing) for the use of this unit as a self-contained two bedroom flat,Hestia House,2,City Walk,,SE1 3ES,,,,,1,0,1,,,Approved,07/04/2020,,,
20/02791/CLE,London Borough of Newham,15/12/2020,Approved,All Other,"Application for a lawful development certificate for the existing use of a self-contained unit on the first floor "Flat 5" at Norwich RoadForest Gate, London, E7 9JH.",,4,Norwich Road,Forest Gate,E7 9JH,,,,,1,0,1,,,Approved,09/02/2021,,,
20/03471/FULL,Westminster,09/06/2020,Approved,All Other,Alterations including the erection of a 5th floor roof extension in connection with the use of the 3rd floor to 5th floors as 2 x residential flats (Class C3).,,98,New Bond Street,,W1S 1SN,,,,,2,0,2,,,Approved,08/09/2020,,,
20/02404/FULL,Westminster,08/04/2020,Approved,All Other,"Erection of single storey roof extension to 18 and 19 Berwick Street, replacement of full height extract duct to rear of 19 Berwick Street and other associated external alterations including extension of full height extract duct to the rear of 18 Berwick Street in association with the ground floor commercial premises; installation of windows to the rear of 19 Berwick Street at first and second floor in connection with the change of use of 1st and 2nd floors of 19 Berwick Street to two one-bedroom units, and the creation of a new one-bedroom unit at 3rd floor level across 18 and 19 Berwick Street. [SITE INCLUDES 19 BERWICK STREET].",,18,Berwick Street,,W1F 0PU,,,,,3,0,3,,,Approved,29/10/2020,,,
20/02787/CLE,London Borough of Newham,15/12/2020,Approved,All Other,"Application for a lawful development certificate for the existing use of a C3 residential use as a self-contained unit "Flat 1" located on the ground floor at 4 Norwich Road, Forest Gate, London, E7 9JH.",,4,Norwich Road,Forest Gate,E7 9JH,,,,,1,0,1,,,Approved,09/02/2021,,,
21/00227/LBC,Westminster,18/01/2021,Approved,All Other,Internal alterations in connection with the amalgamation of 3 flats on the third floor (linked to 21/00226/FULL).,,15D,Cleveland Square,,W2 6DG,,,,,0,3,-3,,,Approved,15/03/2021,,,
20/1442/PNJ,London Borough of Barnet,17/03/2020,Approved,Prior Approval,Change of use of ground floor and basement from Class A2 use to 1 N0. residential unit Class C3,The Broadway,4,Friern Barnet Road,Friern Barnet,N11 3DT,,,,,1,0,1,,,Approved,27/04/2020,,,
20/07988/FULL,Westminster,17/12/2020,Approved,All Other,Replacement of rear conservatory and external alterations including the installation of replacement doors and windows to rear elevation in connection with use as a single dwelling house.,24 Alma SquareLondonNW8 9QA,,,,,,,,,1,4,-3,,,Approved,09/02/2021,,,
DM2020/00907,London Borough of Sutton,19/06/2020,Approved,Prior Approval,Prior Approval for change of use of front and rear building from light industrial to residential use.,21-21A Gordon Road Carshalton SM5 3RG,,,,,,,,,1,0,1,,,Approved,13/08/2020,,,
19/10058/FULL,Westminster,23/12/2019,Approved,All Other,Dual/alternative use of the first floor for either continued office (Class B1) or residential (Class C3); replacement of rear first floor window.,First Floor46 Broadwick StreetLondonW1F 7AF,,,,,,,,,1,0,1,,,Approved,19/08/2020,,,
20/01798/FULL,Westminster,11/03/2020,Approved,All Other,"Demolition of existing pitched roof, and erection of a mansard roof to provide a new one bedroom flat (Class C3).",Hanson House,26,Hanson Street,,W1W 6UH,,,,,1,0,1,,,Approved,19/11/2020,,,
20/05727/FULL,Westminster,12/09/2020,Approved,All Other,Amalgamation of flats 65B and 65D Blomfield Road to create a family sized unit (Use Class C3),,65B,Blomfield Road,,W9 2PA,,,,,1,2,-1,,,Approved,19/11/2020,,,
20/01652/PLUD,Bromley,11/05/2020,Approved,All Other,Conversion of building from 4 flats to single dwellinghouse (Lawful Development Certificate - Proposed),,29,Hayne Road,,BR3 4JA,,,,,1,4,-3,,,Approved,23/06/2020,,,
20/03732/FULL,Westminster,25/06/2020,Approved,All Other,"Single storey rear extension with external landscaping following demolition of existing side and rear additions; Rear extension to existing flat-roofed North East Bay; New metal fence and Entrance gate; Rear skylight to replace existing, plant, all in connection with use as single dwellinghouse.",,86,Hamilton Terrace,,NW8 9UL,,,,,1,6,-5,,,Approved,08/03/2021,,,
